注：雪墅、梦墅、异墅分别对应章节2、3、4
五、线索设置
1. 雪墅
1.1 穆暌信房间
①标题：床单 内容：房间内非常整洁，除了床单略有褶皱。
1.2 松林夕房间
①标题：吊兰 内容：房间各处有被翻找过的痕迹，但没有缺少任何物品。窗帘被拉开，可以看见挂在窗边的吊兰，以及窗外的一片漆黑。
②标题：背包 内容：一个背包放在床头柜上，里面装着小铁锹、锤子、螺丝刀等工具。
1.3 苏溟玖房间
①标题：五芒星纸 内容：书桌的一角平放着一张画有五芒星图案的纸，五芒星的五个角上分别放有剪刀、衣架、水杯、点燃的蜡烛和泥土。五芒星的正中间放有一个玻璃制的千纸鹤吊坠。（可深入调查，深入调查的线索不高亮→1）（进入梦墅阶段时，该线索发生变化，见下方①'）
①'标题：信纸 内容：书桌的一角有一个千纸鹤吊坠，吊坠下压着一张信纸，纸上写着：“苏溟玖，抱歉，这一次我无法回应你的任何求祈，这封信若能传达给你已是万幸。我发现你时，你昏迷在半山腰，无论如何也叫不醒，而乌停湘也不见了踪影。我只能先把你送到了穆暌信的小屋。如果我的推断没错，你应该正被困在梦境里，但我无法进入你的梦境，它就像被什么人操控着，连我都束手无策。我只能和穆暌信守着你的身体，祝愿你早时回来。”
②标题：电击器 内容：床底下有一把电击器。床底被打扫得很干净，没有灰尘。
③标题：羽绒服 内容：床上有一件羽绒服，口袋中装有一个灯塔形状的木雕。
④标题：地毯 内容：地毯上留下了暗褐色的拖曳痕迹，从床边到衣柜处。
⑤标题：门锁 内容：门锁为常见的执手锁，没有鱼线或磁铁使用的痕迹。（可深入调查，深入调查的线索不高亮→2）
⑥标题：衣柜 内容：衣柜中除了衣架以外空无一物，只有暗褐色的血迹残留其中。
⑦标题：钥匙 内容：窗户的正下方有一把不明用途的钥匙。窗帘被拉开，窗外仍是不分昼夜的一片漆黑。
1.4 乌停湘房间
①标题：整洁 内容：房间内非常整洁，与布置之初没有区别，几乎没有人活动的痕迹。
1.5 夏中清房间
①标题：翻找痕迹 内容：房间内各处有被翻找的痕迹，但没有缺少任何物品。衣柜的门为敞开的状态。
1.6 梅塔房间
①标题：无窗墙面 内容：拉开房间的窗帘，发现后面并没有窗户，只是一面普通的墙。
②标题：不明机器 内容：房间比客房大许多，书桌上摆着一台不明用途的机器。（可深入调查→5）
1.7 储物间
①标题：刀具架 内容：储物间内摆放着各种杂物，应有尽有。墙上有一排挂有刀具的架子，架子上出现一处空缺。
②标题：上锁的暗门 内容：地毯被掀起了一角，全部掀开后露出一道被上了锁的暗门，门上有锁孔，似乎能用钥匙打开。
1.8 餐厅
①标题：餐桌水渍 内容：餐厅内非常整洁，餐桌上留有近期打扫的水渍。
②标题：奇怪的门 内容：餐厅内有一道被上锁的门，门上没有锁孔，绘有“α” “β” “γ” “θ”四个图案。每个图案下绘有一个手掌形状的图案，似乎要四个人同时按下。
1.9 书房
①标题：普通木门 内容：书房房门是一扇普通的木门，与客房雕琢精美的木门截然不同。
②标题：箴言笔记本 内容：书桌的抽屉中发现一本摊开的笔记本，被翻开的那一页只有一个句子：“直面过往，创造未来；直面恐惧，重获新生。”其它页都没有任何内容。
③标题：被划线的书页 内容：书桌上有一本书，书中某页夹着一张书签，在那一页，一行文字下被划了一条线，“自由不是在黑与白中做出选择，而是可以放弃这样被规定好的选择。——西奥多·阿多诺”
书签上也有一段文字：“真正可怕的，并不是那种人人都难以避免的一念之差，而是那种深入习俗、盘踞于人心深处的谬误与偏见。——培根”
④标题：书架上的名言 内容：深色的木制书架端庄典雅，书架的侧面用烫金的文字刻下了一句名言：“读书不是为了雄辩和驳斥，也不是为了轻信和盲从，而是为了思考和权衡。——培根。”
⑤标题：空壳书 内容：书架上有一本外观与其它书不一样的书，拿出来发现只是一个空壳，一张空白的纸从里面掉了出来。（可结合紫外线灯深入调查→24）
⑥标题：没有锁孔的门 内容：书房内有一道被锁上的门，门上没有锁孔。
1.10 大厅
①标题：封闭的大门 内容：大门无法开启，没有上锁的迹象。门外仍能听见暴风雪肆虐的声音。
1.11 厨房
①标题：痕迹 内容：厨房内设施齐全，有近期使用的痕迹。
1.12 食品储藏室
①标题：食物 内容：各种食物应有尽有，都以最妥善的方式保存着。（P.S. 可以报菜名）
1.13 搜身线索
穆暌信：标题：穆睽信搜身线索 内容：身着一套考究的黑色西装，以白色衬衣打底，口袋里没有东西。（可深入调查，深入调查的线索不高亮→27）
松林夕：标题：松林夕搜身线索 内容：上着一件白色大衣，口袋里没有东西。脖子上围着一条浅灰色长围巾。下着一条棕色长裤，口袋里没有东西。
